org.w3c.dom.Document.createTextNode() 7260
java.net.Socket.getInputStream() 7250
java.awt.Graphics2D.draw() 7250
java.awt.Color 7216
java.beans.Statement 7186
javax.xml.transform.Transformer.transform() 7150
java.net.URLConnection.getInputStream() 7135
java.io.OutputStream 7134
org.w3c.dom.Document.createElementNS() 7125
java.awt.event.KeyEvent.getKeyCode() 7070
java.io.StringWriter.append() 7070
java.util.concurrent.ConcurrentHashMap.put() 7050
java.net.URLDecoder.decode() 7005
java.net.HttpURLConnection.getResponseCode() 6990
javax.swing.text.View 6978
java.awt.Graphics2D.drawString() 6965
javax.swing.JFileChooser.getSelectedFile() 6940
java.util.Arrays.binarySearch() 6900
java.util.HashSet.size() 6900
java.io.FileInputStream.read() 6895
javax.swing.JTabbedPane.addTab() 6870
java.util.ResourceBundle.getBundle() 6865
java.lang.reflect.Field.set() 6835
java.io.RandomAccessFile.seek() 6820
java.util.StringTokenizer 6816
java.io.File.getParent() 6800
java.lang.System.getProperty() 6790
java.util.logging.Logger.finer() 6785
java.lang.String.replaceAll() 6770
java.awt.Graphics2D.setRenderingHint() 6720
java.util.Hashtable.containsKey() 6720
java.net.URI.getScheme() 6625
java.lang.System.exit() 6605
java.awt.Container.add() 6595
javax.swing.JLabel.setIcon() 6580
java.util.List.equals() 6540
java.beans.Expression 6512
java.lang.String.endsWith() 6510
java.awt.Color.getRed() 6505
java.awt.Cursor 6474
java.awt.Graphics.drawImage() 6470
java.util.Vector.contains() 6465
java.util.concurrent.locks.ReentrantLock.unlock() 6460
java.awt.image.BufferedImage.createGraphics() 6435
java.awt.Graphics2D.fill() 6420
javax.naming.directory.Attributes.get() 6420
java.io.DataOutputStream.writeShort() 6415
java.lang.Object.toString() 6375
javax.swing.JPanel.setBorder() 6360
java.io.ObjectInput.readObject() 6360
java.awt.Color.getGreen() 6345
java.awt.geom.Rectangle2D.getWidth() 6340
java.awt.Color.getBlue() 6330
java.sql.ResultSet.getDouble() 6325
java.lang.Float.parseFloat() 6305
javax.swing.JLabel.setHorizontalAlignment() 6280
java.lang.reflect.Field.getName() 6265
javax.swing.JLabel.setName() 6250
java.util.EnumSet.of() 6210
java.lang.Math.log() 6175
java.util.Queue.add() 6165
org.w3c.dom.Node.getNextSibling() 6135
java.lang.reflect.Array.newInstance() 6135
javax.swing.JMenuBar.add() 6105
javax.xml.xpath.XPath.evaluate() 6085
java.awt.event.ActionEvent.getActionCommand() 6070
java.net.URI.getPath() 6050
java.math.BigDecimal 6042
java.util.Arrays.deepEquals() 6040
java.util.Scanner.nextLine() 6025
javax.imageio.ImageIO.read() 6020
org.w3c.dom.Element.getTagName() 6010
java.io.ObjectOutput.writeObject() 6010
java.util.jar.Attributes.getValue() 5970
java.util.Collections.reverse() 5950
java.util.Hashtable.keys() 5950
java.sql.Connection.setAutoCommit() 5920
java.awt.geom.Rectangle2D.getHeight() 5890
java.io.ObjectInputStream.close() 5885
java.io.DataOutputStream.writeBytes() 5885
java.io.InputStream.available() 5885
java.sql.Connection.commit() 5885
java.lang.reflect.Modifier.isStatic() 5885
java.util.Calendar.setTimeInMillis() 5880
java.util.logging.Logger.finest() 5875
javax.xml.transform.TransformerFactory.newInstance() 5875
java.util.HashSet 5841
java.util.Set.removeAll() 5835
javax.xml.namespace.QName 5831
java.io.PrintWriter 5790
java.util.regex.Pattern 5771
java.util.List.listIterator() 5770
javax.naming.InitialContext.lookup() 5760
java.util.concurrent.locks.ReentrantLock.lock() 5710
java.net.URL.getHost() 5695
java.awt.GridBagLayout.setConstraints() 5680
java.security.acl.Group 5675
java.io.FileOutputStream 5658
java.awt.Dimension 5650
java.util.List.removeAll() 5650
java.net.HttpURLConnection.setRequestMethod() 5580
java.io.StringWriter 5579
java.util.ArrayList.set() 5550
java.lang.ClassLoader 5528
java.lang.String.replace() 5520
java.io.ObjectOutputStream.writeInt() 5510
org.w3c.dom.Node.appendChild() 5500
java.awt.Image 5497
javax.xml.stream.XMLStreamWriter.writeStartElement() 5495
javax.swing.JComboBox.setModel() 5480
java.util.Collections.emptyMap() 5445
java.math.BigInteger 5426
javax.swing.JOptionPane.showConfirmDialog() 5420
javax.swing.BorderFactory.createTitledBorder() 5400
java.io.BufferedInputStream.read() 5370
javax.xml.transform.Transformer.setOutputProperty() 5360
java.awt.Component 5335
java.io.Reader.close() 5300
java.lang.StringBuffer.length() 5295
java.io.ObjectInputStream.readInt() 5295
java.io.RandomAccessFile.close() 5295
javax.swing.JTable.getColumnModel() 5295
javax.xml.stream.events.Attribute 5294
java.io.FileInputStream 5278
java.util.concurrent.atomic.AtomicReference.set() 5275
java.util.concurrent.atomic.AtomicLong.get() 5260
org.w3c.dom.Element.hasAttribute() 5255
javax.xml.stream.Location 5246
java.lang.String.lastIndexOf() 5230
java.util.Random.nextLong() 5220
java.io.PrintStream.close() 5180
javax.naming.Context 5157
java.io.DataOutputStream.writeUTF() 5150
javax.crypto.Cipher.init() 5125
javax.naming.Context.lookup() 5105
java.util.Hashtable.remove() 5095
javax.swing.JButton.setEnabled() 5065
java.lang.reflect.Modifier.isPublic() 5060
java.io.Writer.flush() 5040
java.util.LinkedList.removeFirst() 5020
java.io.File.canWrite() 5020
java.awt.event.MouseEvent.getPoint() 5020
java.util.LinkedList 5013
java.io.DataInputStream.readUTF() 5005
java.math.BigDecimal.add() 4990
javax.swing.JComboBox.setSelectedItem() 4980
java.io.PrintWriter.append() 4975
java.io.DataInputStream.readByte() 4960
java.awt.GridLayout 4942
java.io.DataOutputStream.flush() 4935
java.util.Timer.schedule() 4925
javax.xml.stream.XMLStreamWriter.writeEndElement() 4925
java.util.Vector.remove() 4920
java.awt.Graphics2D.setComposite() 4910
org.w3c.dom.NamedNodeMap.item() 4885
java.lang.String.toLowerCase() 4870
java.lang.Double.doubleToLongBits() 4865
java.lang.Throwable 4852
javax.xml.stream.XMLStreamWriter.writeAttribute() 4840
javax.swing.JFrame.setDefaultCloseOperation() 4825
java.math.BigDecimal.compareTo() 4815
java.awt.Image.getWidth() 4805
java.io.BufferedWriter.flush() 4800
java.util.Vector.clear() 4795
javax.swing.JMenuItem.setEnabled() 4755
java.util.concurrent.ExecutorService.shutdown() 4750
java.util.Collection.remove() 4725
java.util.size() 4710
java.lang.reflect.Method.getDeclaringClass() 4710
javax.swing.tree.DefaultMutableTreeNode.add() 4705
java.util.concurrent.Executors.newFixedThreadPool() 4700
java.lang.reflect.Array.getLength() 4695
java.sql.ResultSet.getObject() 4690
javax.xml.stream.XMLStreamReader.getLocalName() 4690
java.io.PrintWriter.printf() 4680
javax.swing.UIDefaults.put() 4680
java.util.Hashtable 4679
java.util.add() 4655
javax.swing.JComboBox.addItem() 4655
java.lang.reflect.Array.get() 4635
java.awt.image.BufferedImage 4607
java.util.Queue.poll() 4600
org.w3c.dom.Text 4592
java.io.BufferedInputStream.close() 4590
java.util.LinkedList.addAll() 4590
java.util.Properties.store() 4570
javax.naming.directory.Attributes.put() 4570
javax.sql.DataSource.getConnection() 4570
javax.swing.JButton.setIcon() 4540
org.w3c.dom.Element.setAttributeNS() 4525
java.awt.Image.getHeight() 4520
org.w3c.dom.NamedNodeMap.getLength() 4515
javax.swing.JComboBox.setSelectedIndex() 4495
javax.xml.parsers.DocumentBuilderFactory.setNamespaceAware() 4470
java.util.Random 4457
java.lang.Double.isNaN() 4455
java.util.ArrayList.indexOf() 4450
java.util.Collections.unmodifiableMap() 4450
java.util.LinkedList.addLast() 4445
java.lang.Math.random() 4440
java.io.BufferedOutputStream.write() 4435
java.beans.PropertyChangeEvent.getPropertyName() 4435
javax.crypto.Cipher.getInstance() 4430
java.util.jar.Manifest.getMainAttributes() 4430
javax.xml.stream.XMLStreamReader.getAttributeValue() 4425
org.w3c.dom.Entity 4413
java.io.File.getAbsoluteFile() 4405
java.awt.Image.get() 4400
java.net.ServerSocket.close() 4380
java.io.StreamTokenizer.nextToken() 4355
javax.swing.JComboBox.addActionListener() 4350
java.util.LinkedList.addFirst() 4345
org.w3c.dom.Node.getParentNode() 4345
java.net.URI.getHost() 4340
java.math.BigInteger.compareTo() 4335
org.w3c.dom.Node.getTextContent() 4320
java.net.InetAddress.getHostAddress() 4320
javax.swing.JComboBox.getSelectedIndex() 4320
java.io.DataInputStream.read() 4310
java.lang.Math.exp() 4310
java.io.File.equals() 4305
java.util.Scanner.next() 4275
java.util.Arrays.copyOfRange() 4240
java.util.concurrent.atomic.AtomicLong.incrementAndGet() 4235
junit.framework.Assert.assertSame() 4230
javax.swing.JTable.getModel() 4225
java.sql.ResultSet.wasNull() 4220
javax.swing.JLabel 4214
java.util.ListIterator.previous() 4205
org.w3c.dom.Node.getLocalName() 4200
javax.swing.UIManager.getColor() 4200
java.lang.Thread.currentThread() 4195
java.lang.reflect.Method.getAnnotation() 4185
java.util.Hashtable.clear() 4145
javax.crypto.Cipher.doFinal() 4130
java.util.Random.nextBoolean() 4130
java.sql.ResultSet.getMetaData() 4120
java.net.ServerSocket.accept() 4105
java.lang.Object.equals() 4075
java.util.concurrent.locks.ReentrantReadWriteLock.writeLock() 4070
javax.swing.UIManager.put() 4065
java.awt.image.BufferedImage.getRGB() 4055
javax.xml.parsers.SAXParserFactory.newInstance() 4040
javax.swing.SwingUtilities.invokeAndWait() 4040
javax.xml.stream.XMLStreamReader.next() 4025
java.io.ByteArrayOutputStream.size() 4015
java.awt.Graphics2D.translate() 4015
java.sql.ResultSet.getTimestamp() 4010
java.awt.FontMetrics.stringWidth() 3980
java.util.Locale.getLanguage() 3975
java.util.zip.ZipOutputStream.putNextEntry() 3955
javax.swing.JMenu.addSeparator() 3955
java.util.get() 3920
javax.swing.tree.DefaultMutableTreeNode.getUserObject() 3900
java.io.ObjectOutputStream.flush() 3890
java.util.Locale 3887
java.io.Reader 3884
java.util.Vector.isEmpty() 3840
java.lang.Math.floor() 3835
java.io.ByteArrayInputStream 3827
java.awt.Cursor.getPredefinedCursor() 3825
java.beans.PropertyChangeEvent.getNewValue() 3820
java.io.DataOutputStream.writeLong() 3810
java.awt.FontMetrics.getHeight() 3805
java.net.InetSocketAddress.getPort() 3770
javax.xml.transform.TransformerFactory.newTransformer() 3770
java.lang.System.nanoTime() 3770
java.lang.Iterable 3768
java.util.HashSet.iterator() 3765
java.security.KeyStore.getInstance() 3750
java.util.Arrays.hashCode() 3750
java.util.HashSet.remove() 3740
junit.framework.TestCase.assertTrue() 3710
^= 3709
java.util.zip.ZipInputStream.getNextEntry() 3705
java.time.LocalDate.of() 3695
java.security.KeyStore.load() 3690
java.util.Collections.unmodifiableSet() 3680
java.sql.ResultSet.getBoolean() 3680
javax.xml.bind.JAXBContext.newInstance() 3675
javax.swing.JOptionPane.showInputDialog() 3670
javax.swing.JFileChooser.showOpenDialog() 3660
java.net.URL.getPort() 3650
java.io.BufferedReader.read() 3645
javax.xml.bind.Unmarshaller.unmarshal() 3635
java.net.URL.toURI() 3630
java.awt.Point.getX() 3630
java.io.DataInputStream.readFully() 3625
java.io.ByteArrayOutputStream.reset() 3615
javax.imageio.ImageIO.write() 3605
java.util.Hashtable.size() 3605
javax.swing.JLayeredPane.add() 3605
java.sql.Connection.getMetaData() 3590
java.io.DataOutput.write() 3585
javax.naming.NamingEnumeration.next() 3570
java.util.logging.Logger.warn() 3560
java.util.concurrent.Semaphore.release() 3555
java.sql.PreparedStatement.setNull() 3550
java.util.concurrent.Executors.newCachedThreadPool() 3550
javax.xml.parsers.SAXParserFactory.newSAXParser() 3540
java.util.Vector.toArray() 3540
javax.swing.GroupLayout 3539
java.awt.Point.getY() 3530
javax.swing.JTable.setModel() 3495
javax.swing.JButton 3486
javax.naming.NamingEnumeration.hasMore() 3480
java.util.Scanner.nextInt() 3480
java.awt.Graphics2D 3477
java.util.LinkedList.remove() 3475
java.nio.file.FileSystem 3471
java.sql.PreparedStatement.setTimestamp() 3470
java.util.Random.nextGaussian() 3450
java.util.concurrent.ConcurrentHashMap.remove() 3445
java.lang.Class.forName() 3440
java.lang.reflect.Method.getModifiers() 3440
java.awt.Graphics.setFont() 3415
javax.swing.JButton.setName() 3415
java.util.Vector.addAll() 3415
java.io.Writer 3399
java.lang.Long.parseLong() 3395
java.util.concurrent.locks.ReadWriteLock.writeLock() 3385
org.junit.runner.Result 3382
java.util.Vector.iterator() 3375
java.util.Timer.cancel() 3375
javax.swing.JTable.getSelectedRow() 3375
java.io.StringWriter.getBuffer() 3370
java.io.File.toURL() 3365
java.util.Locale.setDefault() 3360
javax.swing.JCheckBox.setText() 3350
java.awt.image.BufferedImage.getGraphics() 3345
java.sql.PreparedStatement.setDouble() 3345
javax.swing.UIDefaults.get() 3345
java.sql.PreparedStatement.setObject() 3340
java.security.Principal.getName() 3335
javax.xml.bind.JAXBElement.getValue() 3330
java.awt.Graphics.translate() 3325
